kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
419,4,92,117,117,117,117,92,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.261Z,2026-01-25T23:26:57.261Z,131,124
437,4,98,160,160,98,160,98,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.311Z,2026-01-25T23:26:57.311Z,129,114
441,4,99,148,148,148,148,99,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.322Z,2026-01-25T23:26:57.322Z,129,117
451,4,102,136,136,102,136,102,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.350Z,2026-01-25T23:26:57.350Z,128,119
457,4,104,122,122,122,122,104,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.365Z,2026-01-25T23:26:57.365Z,127,123
461,4,106,169,169,169,169,106,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.375Z,2026-01-25T23:26:57.375Z,127,112
465,4,108,170,170,170,170,108,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.384Z,2026-01-25T23:26:57.384Z,126,111
472,4,111,149,111,111,111,149,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.402Z,2026-01-25T23:26:57.402Z,125,117
480,4,114,158,114,158,114,158,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.422Z,2026-01-25T23:26:57.422Z,125,115
494,4,118,120,118,118,118,120,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.457Z,2026-01-25T23:26:57.457Z,124,123
501,4,119,155,119,119,119,155,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.475Z,2026-01-25T23:26:57.475Z,124,115
508,4,121,142,142,142,142,121,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.491Z,2026-01-25T23:26:57.491Z,123,118
518,4,123,133,123,123,123,133,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.521Z,2026-01-25T23:26:57.521Z,122,120
527,4,125,127,125,125,125,127,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.542Z,2026-01-25T23:26:57.542Z,122,121
542,4,128,144,144,128,144,128,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.581Z,2026-01-25T23:26:57.581Z,121,118
551,4,130,161,130,130,130,161,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.603Z,2026-01-25T23:26:57.603Z,120,114
555,4,131,143,131,131,131,143,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.613Z,2026-01-25T23:26:57.613Z,120,118
567,4,134,168,168,168,168,134,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.642Z,2026-01-25T23:26:57.642Z,119,112
590,4,141,147,147,147,147,141,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.699Z,2026-01-25T23:26:57.699Z,118,117
604,4,146,167,167,167,167,146,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.733Z,2026-01-25T23:26:57.733Z,117,112
